idx	status	level	score	techniques
137	stuck	-	1056	隐藏唯一数(Hidden Single)*4, Forcing Chain Contradiction*2
138	stuck	-	2840	Locked Candidates Type 1 (Pointing)*4, XYZ-Wing*1, Discontinuous Nice Loop*2, 成组不连续环(Grouped Discontinuous Nice Loop)*2, Almost Locked Set XZ-Rule*1, Forcing Chain Contradiction*2
139	solved	极端	7360	隐藏唯一数(Hidden Single)*7, Finned Swordfish*1, Discontinuous Nice Loop*6, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Forcing Chain Contradiction*5, Forcing Chain Verity*2, Naked Pair*1, Locked Candidates Type 2 (Claiming)*2, Sue de Coq*1, Naked Single*27, Locked Candidates Type 1 (Pointing)*1, 双线风筝(2-String Kite)*1, XY链(XY-Chain)*3, Full House*21
140	stuck	-	1752	隐藏唯一数(Hidden Single)*8, Locked Candidates Type 1 (Pointing)*1, 双线风筝(2-String Kite)*1, 多宝鱼(Turbot Fish)*1, Almost Locked Set XY-Wing*1, Forcing Chain Contradiction*2
141	solved	极端	5790	隐藏唯一数(Hidden Single)*16, Locked Candidates Type 1 (Pointing)*6, Locked Candidates Type 2 (Claiming)*2, 三链列(Swordfish)*1, 隐式矩形(Hidden Rectangle)*2, Forcing Chain Contradiction*5, 双线风筝(2-String Kite)*1, Finned Swordfish*1, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Almost Locked Set XZ-Rule*1, Locked Pair*2, Naked Triple*1, Naked Single*18, Full House*21, 唯一性测试 3*1, AIC*1, Discontinuous Nice Loop*1, XY链(XY-Chain)*1, 摩天楼(Skyscraper)*1
142	solved	极端	11314	隐藏唯一数(Hidden Single)*12, Locked Candidates Type 1 (Pointing)*5, 隐藏数对(Hidden Pair)*1, 隐式矩形(Hidden Rectangle)*2, 成组不连续环(Grouped Discontinuous Nice Loop)*4, Forcing Chain Contradiction*10, 双线风筝(2-String Kite)*1, Locked Candidates Type 2 (Claiming)*2, Finned Franken Swordfish*1, AIC*4, Discontinuous Nice Loop*5, 空矩形(Empty Rectangle)*1, Naked Triple*2, Naked Single*18, X-Wing*1, XY链(XY-Chain)*2, Full House*21, W-Wing*1
143	solved	极端	3372	隐藏唯一数(Hidden Single)*18, 双线风筝(2-String Kite)*1, XY-Wing*1, Locked Candidates Type 1 (Pointing)*6, Discontinuous Nice Loop*1, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Forcing Chain Contradiction*2, Naked Single*15, Almost Locked Set XY-Wing*1, AIC*1, Full House*20, Naked Pair*1, 摩天楼(Skyscraper)*1
144	stuck	-	2966	隐藏唯一数(Hidden Single)*4, Locked Candidates Type 1 (Pointing)*2, Locked Candidates Type 2 (Claiming)*3, Discontinuous Nice Loop*3, Almost Locked Set XY-Wing*1, Forcing Chain Contradiction*2, Forcing Chain Verity*1
145	solved	极端	8096	隐藏唯一数(Hidden Single)*7, Locked Candidates Type 1 (Pointing)*8, Naked Triple*1, 摩天楼(Skyscraper)*1, Naked Single*27, Discontinuous Nice Loop*1, 隐式矩形(Hidden Rectangle)*1, 成组不连续环(Grouped Discontinuous Nice Loop)*8, Forcing Chain Contradiction*6, Almost Locked Set XZ-Rule*1, Locked Candidates Type 2 (Claiming)*2, XYZ-Wing*2, Continuous Nice Loop*1, AIC*1, Hidden Triple*1, Full House*20
146	solved	极端	6218	隐藏唯一数(Hidden Single)*9, Locked Candidates Type 1 (Pointing)*6, 双线风筝(2-String Kite)*2, Finned X-Wing*1, Discontinuous Nice Loop*5, 成组不连续环(Grouped Discontinuous Nice Loop)*2, Locked Candidates Type 2 (Claiming)*1, Almost Locked Set XZ-Rule*2, Almost Locked Set Chain*1, Forcing Chain Contradiction*3, W-Wing*1, 隐式矩形(Hidden Rectangle)*2, 摩天楼(Skyscraper)*1, Naked Single*22, Naked Triple*1, X-Wing*1, Full House*21
147	stuck	-	1032	隐藏唯一数(Hidden Single)*3, Locked Pair*1, Locked Candidates Type 1 (Pointing)*3, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Forcing Chain Contradiction*1
148	stuck	-	2198	隐藏唯一数(Hidden Single)*1, Locked Candidates Type 2 (Claiming)*2, 多宝鱼(Turbot Fish)*1, Finned Swordfish*2, Discontinuous Nice Loop*2, Naked Single*1, Forcing Chain Contradiction*2
149	stuck	-	3708	隐藏唯一数(Hidden Single)*2, Locked Candidates Type 1 (Pointing)*2, X-Wing*1, 空矩形(Empty Rectangle)*1, Almost Locked Set XY-Wing*1, Forcing Chain Contradiction*6
150	solved	极端	13442	隐藏唯一数(Hidden Single)*5, 空矩形(Empty Rectangle)*1, Finned X-Wing*1, Forcing Chain Contradiction*15, Locked Candidates Type 2 (Claiming)*2, 成组不连续环(Grouped Discontinuous Nice Loop)*5, Locked Candidates Type 1 (Pointing)*3, Forcing Chain Verity*1, XYZ-Wing*1, 隐藏数对(Hidden Pair)*1, 摩天楼(Skyscraper)*1, Continuous Nice Loop*1, Finned Swordfish*1, Discontinuous Nice Loop*2, 成组连续环(Grouped Continuous Nice Loop)*1, Almost Locked Set XY-Wing*1, Naked Single*27, Sue de Coq*1, Naked Pair*1, XY链(XY-Chain)*2, XY-Wing*1, W-Wing*1, Full House*21
151	stuck	-	4882	隐藏唯一数(Hidden Single)*2, Locked Pair*1, Naked Single*1, Locked Candidates Type 1 (Pointing)*2, Locked Candidates Type 2 (Claiming)*2, 双线风筝(2-String Kite)*2, Finned X-Wing*1, 成组不连续环(Grouped Discontinuous Nice Loop)*3, Forcing Chain Contradiction*5, Discontinuous Nice Loop*1, Forcing Chain Verity*1
152	stuck	-	844	隐藏唯一数(Hidden Single)*1, Locked Candidates Type 2 (Claiming)*1, Discontinuous Nice Loop*1, Forcing Chain Contradiction*1
153	stuck	-	1398	隐藏唯一数(Hidden Single)*7, Locked Candidates Type 2 (Claiming)*2, 双线风筝(2-String Kite)*1, Forcing Chain Contradiction*2, Locked Candidates Type 1 (Pointing)*1
154	solved	极端	7074	隐藏唯一数(Hidden Single)*18, Locked Candidates Type 1 (Pointing)*5, 摩天楼(Skyscraper)*1, 成组不连续环(Grouped Discontinuous Nice Loop)*2, Forcing Chain Contradiction*9, Locked Candidates Type 2 (Claiming)*1, 成组 AIC*1, Naked Pair*1, 多宝鱼(Turbot Fish)*1, 空矩形(Empty Rectangle)*1, Naked Single*17, W-Wing*2, Full House*21, Naked Triple*1, XY-Wing*1
155	stuck	-	1986	隐藏唯一数(Hidden Single)*4, Locked Candidates Type 1 (Pointing)*3, Discontinuous Nice Loop*1, Forcing Chain Contradiction*3
156	stuck	-	966	Naked Single*5, Full House*1, 隐藏唯一数(Hidden Single)*3, 隐式矩形(Hidden Rectangle)*1, Almost Locked Set XZ-Rule*1, Forcing Chain Contradiction*1
157	stuck	-	1418	隐藏唯一数(Hidden Single)*12, Sue de Coq*1, Forcing Chain Contradiction*2
158	stuck	-	3170	隐藏唯一数(Hidden Single)*5, Locked Candidates Type 1 (Pointing)*3, Locked Candidates Type 2 (Claiming)*1, 双线风筝(2-String Kite)*1, Sue de Coq*1, Forcing Chain Contradiction*5
159	solved	极端	6032	隐藏唯一数(Hidden Single)*15, Locked Candidates Type 1 (Pointing)*4, Locked Candidates Type 2 (Claiming)*2, Sue de Coq*1, Naked Pair*2, Naked Single*19, 双线风筝(2-String Kite)*1, Discontinuous Nice Loop*5, Forcing Chain Contradiction*2, Finned Franken Swordfish*1, Almost Locked Set XY-Wing*1, Almost Locked Set Chain*2, Full House*19, W-Wing*2, 空矩形(Empty Rectangle)*1, 唯一性测试 1*1, XY链(XY-Chain)*2
160	stuck	-	4070	隐藏唯一数(Hidden Single)*5, Finned Swordfish*1, 成组不连续环(Grouped Discontinuous Nice Loop)*3, Almost Locked Set XZ-Rule*1, Forcing Chain Contradiction*5, Locked Candidates Type 2 (Claiming)*2
161	stuck	-	2730	隐藏唯一数(Hidden Single)*5, Locked Candidates Type 1 (Pointing)*1, 摩天楼(Skyscraper)*1, 成组不连续环(Grouped Discontinuous Nice Loop)*3, Almost Locked Set XZ-Rule*1, Discontinuous Nice Loop*1, Forcing Chain Contradiction*2
162	stuck	-	2730	Full House*1, 隐藏唯一数(Hidden Single)*4, Locked Candidates Type 1 (Pointing)*2, 成组连续环(Grouped Continuous Nice Loop)*1, 成组不连续环(Grouped Discontinuous Nice Loop)*2, Almost Locked Set XZ-Rule*1, Locked Candidates Type 2 (Claiming)*1, Almost Locked Set XY-Wing*1, Forcing Chain Contradiction*2
163	stuck	-	2490	隐藏唯一数(Hidden Single)*5, Locked Candidates Type 1 (Pointing)*3, 双线风筝(2-String Kite)*1, Almost Locked Set XZ-Rule*1, Almost Locked Set XY-Wing*1, Forcing Chain Contradiction*3
164	solved	极端	6996	隐藏唯一数(Hidden Single)*15, Locked Candidates Type 1 (Pointing)*5, Locked Candidates Type 2 (Claiming)*2, Discontinuous Nice Loop*6, 成组不连续环(Grouped Discontinuous Nice Loop)*2, Almost Locked Set XZ-Rule*1, Forcing Chain Verity*1, Forcing Chain Contradiction*2, Sue de Coq*1, Almost Locked Set XY-Wing*2, 隐藏数对(Hidden Pair)*1, 双线风筝(2-String Kite)*1, 隐式矩形(Hidden Rectangle)*1, AIC*1, XYZ-Wing*1, Locked Pair*1, Naked Triple*1, Naked Single*18, W-Wing*1, XY链(XY-Chain)*1, Full House*21
165	solved	极端	5030	Naked Single*25, Locked Candidates Type 1 (Pointing)*2, Finned X-Wing*1, 成组不连续环(Grouped Discontinuous Nice Loop)*3, Almost Locked Set XZ-Rule*3, Locked Candidates Type 2 (Claiming)*3, 双线风筝(2-String Kite)*1, Almost Locked Set XY-Wing*1, 隐藏唯一数(Hidden Single)*9, Discontinuous Nice Loop*3, Locked Pair*1, XY-Wing*2, AIC*1, Naked Triple*1, XYZ-Wing*1, Full House*21, 唯一性测试 3*1, 摩天楼(Skyscraper)*1, Bivalue Universal Grave + 1*1
166	stuck	-	3222	隐藏唯一数(Hidden Single)*3, Locked Candidates Type 1 (Pointing)*1, 隐藏数对(Hidden Pair)*1, 隐式矩形(Hidden Rectangle)*1, AIC*1, Discontinuous Nice Loop*2, Forcing Chain Contradiction*4, 多宝鱼(Turbot Fish)*1
167	stuck	-	2322	隐藏唯一数(Hidden Single)*3, Locked Candidates Type 1 (Pointing)*2, Naked Pair*1, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Finned Swordfish*1, Almost Locked Set XZ-Rule*1, Almost Locked Set XY-Wing*1, Forcing Chain Contradiction*2
168	stuck	-	7030	Locked Candidates Type 1 (Pointing)*5, 双线风筝(2-String Kite)*2, Discontinuous Nice Loop*2, Almost Locked Set XZ-Rule*2, Forcing Chain Contradiction*9, Almost Locked Set XY-Wing*1, Almost Locked Set Chain*1, XY-Wing*1
169	stuck	-	1776	隐藏唯一数(Hidden Single)*4, Locked Candidates Type 1 (Pointing)*3, 双线风筝(2-String Kite)*1, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Almost Locked Set XZ-Rule*1, Almost Locked Set XY-Wing*1, Forcing Chain Contradiction*1
170	stuck	-	1308	隐藏唯一数(Hidden Single)*2, Locked Candidates Type 1 (Pointing)*1, Finned X-Wing*1, Finned Swordfish*1, Discontinuous Nice Loop*1, Almost Locked Set XZ-Rule*1, Almost Locked Set XY-Wing*1
171	solved	极端	11470	Naked Single*21, 隐藏唯一数(Hidden Single)*14, X-Wing*3, 双线风筝(2-String Kite)*1, XYZ-Wing*1, Discontinuous Nice Loop*6, 成组不连续环(Grouped Discontinuous Nice Loop)*9, W-Wing*2, Almost Locked Set XZ-Rule*3, Almost Locked Set XY-Wing*1, Forcing Chain Contradiction*4, Full House*20, XY链(XY-Chain)*1, Locked Candidates Type 1 (Pointing)*3, Almost Locked Set Chain*1, Forcing Chain Verity*1, Continuous Nice Loop*1, AIC*2, Naked Pair*2, Finned Swordfish*1, Locked Candidates Type 2 (Claiming)*1
172	stuck	-	1150	隐藏唯一数(Hidden Single)*5, Locked Candidates Type 1 (Pointing)*1, 隐藏数对(Hidden Pair)*1, 隐式矩形(Hidden Rectangle)*1, Continuous Nice Loop*1, Discontinuous Nice Loop*1, 成组不连续环(Grouped Discontinuous Nice Loop)*1
173	stuck	-	4248	隐藏唯一数(Hidden Single)*2, Locked Candidates Type 1 (Pointing)*3, 隐藏数对(Hidden Pair)*1, 成组不连续环(Grouped Discontinuous Nice Loop)*3, Almost Locked Set XY-Wing*1, Discontinuous Nice Loop*1, Forcing Chain Contradiction*5
174	solved	极端	13052	Naked Single*29, 隐藏唯一数(Hidden Single)*3, Locked Pair*2, Locked Candidates Type 1 (Pointing)*3, Naked Pair*4, 唯一性测试 1*1, Sashimi Swordfish*1, 成组不连续环(Grouped Discontinuous Nice Loop)*4, Almost Locked Set Chain*4, Forcing Chain Contradiction*13, Almost Locked Set XY-Wing*3, Forcing Chain Verity*2, 空矩形(Empty Rectangle)*1, AIC*1, Discontinuous Nice Loop*1, X-Wing*1, XY-Wing*1, Full House*21
175	solved	极端	7630	隐藏唯一数(Hidden Single)*17, Locked Candidates Type 1 (Pointing)*7, 双线风筝(2-String Kite)*2, 成组不连续环(Grouped Discontinuous Nice Loop)*3, Almost Locked Set Chain*1, Forcing Chain Contradiction*4, Discontinuous Nice Loop*4, AIC*2, 成组 AIC*1, Almost Locked Set XZ-Rule*1, Naked Single*18, Full House*20, 隐藏数对(Hidden Pair)*1, Naked Triple*1, 摩天楼(Skyscraper)*1, Locked Candidates Type 2 (Claiming)*2, 空矩形(Empty Rectangle)*1, W-Wing*1, XY-Wing*1, XY链(XY-Chain)*1
176	solved	极端	9384	Naked Single*25, 隐藏唯一数(Hidden Single)*10, Naked Triple*1, 双线风筝(2-String Kite)*2, Discontinuous Nice Loop*5, 成组不连续环(Grouped Discontinuous Nice Loop)*7, Almost Locked Set XZ-Rule*2, Almost Locked Set XY-Wing*3, Forcing Chain Contradiction*4, 成组 AIC*1, Locked Candidates Type 1 (Pointing)*3, Naked Pair*1, 隐式矩形(Hidden Rectangle)*2, Continuous Nice Loop*1, 隐藏数对(Hidden Pair)*1, W-Wing*1, Finned X-Wing*1, AIC*1, Full House*21
177	solved	极端	8976	隐藏唯一数(Hidden Single)*9, Locked Triple*1, Locked Candidates Type 1 (Pointing)*6, Locked Candidates Type 2 (Claiming)*1, Discontinuous Nice Loop*1, Almost Locked Set XZ-Rule*1, Forcing Chain Contradiction*6, Almost Locked Set XY-Wing*2, 双线风筝(2-String Kite)*2, 成组不连续环(Grouped Discontinuous Nice Loop)*2, Forcing Chain Verity*1, Almost Locked Set Chain*1, Naked Single*24, Naked Pair*2, 唯一性测试 2*1, Naked Triple*4, 隐藏数对(Hidden Pair)*1, XY-Wing*1, 唯一性测试 1*1, XY链(XY-Chain)*3, W-Wing*3, Finned Swordfish*1, Full House*21
178	stuck	-	3324	Naked Single*3, Full House*1, 隐藏唯一数(Hidden Single)*2, Locked Candidates Type 1 (Pointing)*1, 双线风筝(2-String Kite)*1, Discontinuous Nice Loop*1, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Forcing Chain Contradiction*4, Forcing Chain Verity*1
179	solved	极端	10478	隐藏唯一数(Hidden Single)*6, Locked Candidates Type 1 (Pointing)*4, Discontinuous Nice Loop*8, 成组 AIC*1, X链(X-Chain)*1, Forcing Chain Contradiction*8, Naked Triple*2, Almost Locked Set XZ-Rule*4, 成组不连续环(Grouped Discontinuous Nice Loop)*4, Naked Single*25, Almost Locked Set XY-Wing*1, 隐藏数对(Hidden Pair)*2, Naked Pair*1, 摩天楼(Skyscraper)*1, Full House*21
180	stuck	-	5448	隐藏唯一数(Hidden Single)*2, Locked Candidates Type 1 (Pointing)*1, 双线风筝(2-String Kite)*1, 成组不连续环(Grouped Discontinuous Nice Loop)*3, Almost Locked Set XY-Wing*1, Forcing Chain Contradiction*8
181	solved	极端	9004	隐藏唯一数(Hidden Single)*14, X-Wing*1, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Forcing Chain Contradiction*9, Locked Candidates Type 2 (Claiming)*3, 隐式矩形(Hidden Rectangle)*2, Naked Pair*3, Finned Franken Swordfish*1, Forcing Chain Verity*1, Naked Single*16, 唯一性测试 6*1, Finned Swordfish*1, Locked Candidates Type 1 (Pointing)*1, Discontinuous Nice Loop*1, 空矩形(Empty Rectangle)*1, W-Wing*3, 三链列(Swordfish)*1, AIC*1, 摩天楼(Skyscraper)*1, XY链(XY-Chain)*2, Full House*21
182	stuck	-	2092	隐藏唯一数(Hidden Single)*3, Locked Candidates Type 1 (Pointing)*2, 双线风筝(2-String Kite)*1, Almost Locked Set XZ-Rule*1, Forcing Chain Contradiction*3
183	solved	极端	4286	隐藏唯一数(Hidden Single)*18, Locked Candidates Type 1 (Pointing)*4, 成组 AIC*1, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Almost Locked Set XZ-Rule*2, Forcing Chain Contradiction*4, Naked Single*16, Locked Candidates Type 2 (Claiming)*1, X-Wing*2, Full House*20, XY-Wing*1
184	stuck	-	3418	隐藏唯一数(Hidden Single)*7, 空矩形(Empty Rectangle)*1, 隐式矩形(Hidden Rectangle)*1, Discontinuous Nice Loop*1, Almost Locked Set XY-Wing*1, Forcing Chain Contradiction*5
185	stuck	-	9376	隐藏唯一数(Hidden Single)*4, Locked Candidates Type 1 (Pointing)*2, Locked Candidates Type 2 (Claiming)*2, 成组不连续环(Grouped Discontinuous Nice Loop)*4, Almost Locked Set XY-Wing*2, Forcing Chain Contradiction*14, Discontinuous Nice Loop*1
186	stuck	-	634	隐藏唯一数(Hidden Single)*1, Locked Candidates Type 1 (Pointing)*1, Locked Candidates Type 2 (Claiming)*1, 隐藏数对(Hidden Pair)*1, W-Wing*1, Almost Locked Set XZ-Rule*1
187	solved	极端	9626	Naked Single*21, 隐藏唯一数(Hidden Single)*13, Locked Candidates Type 1 (Pointing)*5, 双线风筝(2-String Kite)*1, Finned X-Wing*2, Discontinuous Nice Loop*5, 成组不连续环(Grouped Discontinuous Nice Loop)*4, Forcing Chain Contradiction*10, Almost Locked Set XY-Wing*2, 空矩形(Empty Rectangle)*1, XY链(XY-Chain)*1, Full House*20
188	stuck	-	2194	隐藏唯一数(Hidden Single)*10, Naked Single*1, Locked Candidates Type 1 (Pointing)*3, Discontinuous Nice Loop*5, Forcing Chain Contradiction*1
189	solved	极端	3052	隐藏唯一数(Hidden Single)*5, Locked Candidates Type 1 (Pointing)*5, Locked Candidates Type 2 (Claiming)*2, Finned Swordfish*1, Forcing Chain Contradiction*2, Sashimi X-Wing*1, Locked Pair*2, Naked Triple*1, 摩天楼(Skyscraper)*1, Naked Pair*1, 双线风筝(2-String Kite)*1, W-Wing*1, Discontinuous Nice Loop*1, Naked Single*28, XY-Wing*1, Full House*20
190	solved	极端	9134	隐藏唯一数(Hidden Single)*9, Locked Candidates Type 1 (Pointing)*4, Discontinuous Nice Loop*9, Forcing Chain Contradiction*8, 双线风筝(2-String Kite)*1, Almost Locked Set XZ-Rule*1, 成组不连续环(Grouped Discontinuous Nice Loop)*4, W-Wing*2, Naked Single*21, Locked Candidates Type 2 (Claiming)*1, Naked Pair*2, Full House*21
191	solved	极端	3102	Naked Single*18, 隐藏唯一数(Hidden Single)*15, Locked Candidates Type 1 (Pointing)*5, Locked Candidates Type 2 (Claiming)*2, 摩天楼(Skyscraper)*1, 隐藏数对(Hidden Pair)*1, Discontinuous Nice Loop*3, Almost Locked Set XZ-Rule*2, Forcing Chain Contradiction*1, Sue de Coq*1, Full House*20
192	solved	极端	8216	隐藏唯一数(Hidden Single)*16, Locked Candidates Type 1 (Pointing)*4, 成组不连续环(Grouped Discontinuous Nice Loop)*3, Almost Locked Set XZ-Rule*2, Locked Candidates Type 2 (Claiming)*2, Naked Triple*1, 双线风筝(2-String Kite)*2, Forcing Chain Contradiction*5, Almost Locked Set XY-Wing*1, Continuous Nice Loop*1, 摩天楼(Skyscraper)*2, Discontinuous Nice Loop*3, Naked Single*19, 空矩形(Empty Rectangle)*2, Sue de Coq*1, XY链(XY-Chain)*1, AIC*1, X-Wing*2, W-Wing*1, Full House*19
193	stuck	-	1764	隐藏唯一数(Hidden Single)*6, Locked Candidates Type 1 (Pointing)*1, Finned X-Wing*1, Finned Swordfish*1, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Forcing Chain Contradiction*2
194	stuck	-	682	隐藏唯一数(Hidden Single)*3, Locked Pair*1, Locked Candidates Type 1 (Pointing)*2, Forcing Chain Contradiction*1
195	stuck	-	2188	隐藏唯一数(Hidden Single)*12, Locked Candidates Type 1 (Pointing)*2, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Discontinuous Nice Loop*4, Forcing Chain Contradiction*1
196	stuck	-	696	Naked Single*2, 隐藏唯一数(Hidden Single)*2, XY-Wing*1, Forcing Chain Contradiction*1
197	solved	极端	3942	隐藏唯一数(Hidden Single)*10, Naked Single*23, Locked Candidates Type 1 (Pointing)*4, Locked Candidates Type 2 (Claiming)*2, Naked Triple*1, Finned X-Wing*1, Forcing Chain Contradiction*2, Almost Locked Set XY-Wing*1, AIC*1, 隐式矩形(Hidden Rectangle)*2, Discontinuous Nice Loop*3, Naked Pair*1, Full House*20, X-Wing*1, 摩天楼(Skyscraper)*1, W-Wing*1
198	stuck	-	3890	隐藏唯一数(Hidden Single)*5, Locked Candidates Type 1 (Pointing)*2, 空矩形(Empty Rectangle)*1, 成组不连续环(Grouped Discontinuous Nice Loop)*2, Forcing Chain Contradiction*6
199	solved	极端	5358	隐藏唯一数(Hidden Single)*12, X-Wing*2, 双线风筝(2-String Kite)*1, Naked Triple*1, 成组不连续环(Grouped Discontinuous Nice Loop)*5, Almost Locked Set XY-Wing*1, Forcing Chain Contradiction*1, 空矩形(Empty Rectangle)*1, Locked Candidates Type 1 (Pointing)*3, Locked Candidates Type 2 (Claiming)*2, 隐藏数对(Hidden Pair)*1, Naked Single*19, 摩天楼(Skyscraper)*1, Naked Pair*2, Discontinuous Nice Loop*4, Finned X-Wing*1, XY链(XY-Chain)*1, Full House*21
200	solved	极端	6226	隐藏唯一数(Hidden Single)*21, 三链列(Swordfish)*2, 摩天楼(Skyscraper)*1, Discontinuous Nice Loop*5, Forcing Chain Contradiction*2, Locked Candidates Type 1 (Pointing)*2, Almost Locked Set XY-Wing*4, 双线风筝(2-String Kite)*2, Naked Single*13, Naked Triple*1, 隐式矩形(Hidden Rectangle)*1, 成组不连续环(Grouped Discontinuous Nice Loop)*1, 唯一性测试 4*1, W-Wing*2, 空矩形(Empty Rectangle)*3, Locked Candidates Type 2 (Claiming)*1, Full House*20
201	solved	极端	5840	隐藏唯一数(Hidden Single)*5, Locked Candidates Type 2 (Claiming)*2, 双线风筝(2-String Kite)*2, Finned X-Wing*1, Finned Swordfish*1, Discontinuous Nice Loop*2, 成组 AIC*1, 成组不连续环(Grouped Discontinuous Nice Loop)*6, Forcing Chain Contradiction*1, Forcing Chain Verity*1, Naked Single*30, 隐藏数对(Hidden Pair)*1, Hidden Triple*1, Locked Candidates Type 1 (Pointing)*1, Continuous Nice Loop*1, Simple Colors Trap*1, AIC*1, Sue de Coq*1, Full House*20
202	stuck	-	1612	隐藏唯一数(Hidden Single)*3, Locked Pair*1, 双线风筝(2-String Kite)*1, Multi Colors 1*1, Discontinuous Nice Loop*2, AIC*1, Almost Locked Set Chain*1
203	stuck	-	4802	隐藏唯一数(Hidden Single)*3, Locked Candidates Type 1 (Pointing)*5, 成组不连续环(Grouped Discontinuous Nice Loop)*2, Locked Candidates Type 2 (Claiming)*1, Almost Locked Set XZ-Rule*1, Forcing Chain Contradiction*5, XYZ-Wing*1, Discontinuous Nice Loop*2, Almost Locked Set XY-Wing*1
204	stuck	-	1692	隐藏唯一数(Hidden Single)*3, Locked Candidates Type 2 (Claiming)*1, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Almost Locked Set XZ-Rule*1, Forcing Chain Contradiction*2
205	solved	极端	8356	隐藏唯一数(Hidden Single)*8, Locked Candidates Type 1 (Pointing)*9, 隐藏数对(Hidden Pair)*1, 空矩形(Empty Rectangle)*1, Discontinuous Nice Loop*5, 成组不连续环(Grouped Discontinuous Nice Loop)*3, Almost Locked Set XZ-Rule*2, Almost Locked Set XY-Wing*1, Forcing Chain Contradiction*7, XYZ-Wing*1, Finned X-Wing*1, XY-Wing*1, Sue de Coq*1, Naked Single*22, Full House*19
206	solved	极端	8734	隐藏唯一数(Hidden Single)*5, X-Wing*1, 空矩形(Empty Rectangle)*2, Locked Candidates Type 1 (Pointing)*4, 成组不连续环(Grouped Discontinuous Nice Loop)*2, Forcing Chain Contradiction*10, Forcing Chain Verity*2, Discontinuous Nice Loop*1, Locked Candidates Type 2 (Claiming)*1, 多宝鱼(Turbot Fish)*2, Locked Pair*1, Naked Single*27, 双线风筝(2-String Kite)*1, Naked Pair*3, Naked Triple*1, 三链列(Swordfish)*1, 摩天楼(Skyscraper)*1, Full House*19
207	stuck	-	460	隐藏唯一数(Hidden Single)*5, Locked Candidates Type 1 (Pointing)*2, Naked Triple*1, Naked Pair*1, 双线风筝(2-String Kite)*1
208	solved	极端	6516	隐藏唯一数(Hidden Single)*7, Locked Candidates Type 1 (Pointing)*6, 双线风筝(2-String Kite)*1, Discontinuous Nice Loop*5, Forcing Chain Contradiction*3, Continuous Nice Loop*2, Simple Colors Trap*1, XY链(XY-Chain)*5, Locked Candidates Type 2 (Claiming)*1, Locked Pair*1, Naked Single*27, Sue de Coq*1, AIC*1, 隐式矩形(Hidden Rectangle)*1, W-Wing*1, Full House*20
209	solved	极端	9354	隐藏唯一数(Hidden Single)*14, Locked Candidates Type 1 (Pointing)*5, 摩天楼(Skyscraper)*2, Discontinuous Nice Loop*1, Almost Locked Set XZ-Rule*1, Forcing Chain Contradiction*12, Forcing Chain Verity*1, Naked Single*16, Locked Candidates Type 2 (Claiming)*2, Full House*21, W-Wing*2, 三链列(Swordfish)*1, Sue de Coq*1, XY链(XY-Chain)*2, 隐式矩形(Hidden Rectangle)*1
210	solved	极端	10470	隐藏唯一数(Hidden Single)*14, Locked Candidates Type 1 (Pointing)*8, 双线风筝(2-String Kite)*1, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Naked Single*21, Sue de Coq*1, Almost Locked Set XY-Wing*2, Forcing Chain Contradiction*9, Forcing Chain Verity*1, X-Wing*1, Finned Swordfish*1, Discontinuous Nice Loop*1, Almost Locked Set XZ-Rule*1, Naked Pair*1, 空矩形(Empty Rectangle)*1, XY链(XY-Chain)*5, Hidden Triple*1, AIC*1, 隐式矩形(Hidden Rectangle)*1, Finned X-Wing*1, Locked Candidates Type 2 (Claiming)*1, XY-Wing*1, W-Wing*1, Full House*20
211	stuck	-	1510	隐藏唯一数(Hidden Single)*15, Finned Jellyfish*1, Locked Candidates Type 1 (Pointing)*1, Forcing Chain Contradiction*2
212	solved	极端	4582	Naked Single*25, 隐藏唯一数(Hidden Single)*7, Locked Candidates Type 1 (Pointing)*1, Finned Swordfish*1, Discontinuous Nice Loop*3, 成组不连续环(Grouped Discontinuous Nice Loop)*3, Naked Pair*1, Forcing Chain Contradiction*4, Sue de Coq*1, Full House*21
213	stuck	-	4672	Naked Single*1, 隐藏唯一数(Hidden Single)*6, Full House*1, Locked Pair*1, Locked Candidates Type 1 (Pointing)*3, XY-Wing*1, XYZ-Wing*1, Continuous Nice Loop*1, XY链(XY-Chain)*1, 空矩形(Empty Rectangle)*1, Discontinuous Nice Loop*3, 成组 AIC*1, 成组不连续环(Grouped Discontinuous Nice Loop)*4, Locked Candidates Type 2 (Claiming)*1, Forcing Chain Verity*2
